date,year,month,tsi_wm2
1998-09,1998,9,132.0
1998-10,1998,10,78.5
1998-11,1998,11,97.3
1998-12,1998,12,119.2
1999-01,1999,1,86.0
1999-02,1999,2,98.0
1999-03,1999,3,103.5
1999-04,1999,4,93.6
1999-05,1999,5,149.6
1999-06,1999,6,207.2
1999-07,1999,7,173.5
1999-08,1999,8,142.3
1999-09,1999,9,106.3
1999-10,1999,10,168.7
1999-11,1999,11,188.3
1999-12,1999,12,116.8
2000-01,2000,1,133.1
2000-02,2000,2,165.7
2000-03,2000,3,217.7
2000-04,2000,4,191.5
2000-05,2000,5,165.9
2000-06,2000,6,188.0
2000-07,2000,7,244.3
2000-08,2000,8,180.5
2000-09,2000,9,156.0
2000-10,2000,10,141.6
2000-11,2000,11,158.1
2000-12,2000,12,143.3
2001-01,2001,1,142.6
2001-02,2001,2,121.5
2001-03,2001,3,165.8
2001-04,2001,4,161.7
2001-05,2001,5,142.1
2001-06,2001,6,202.9
2001-07,2001,7,123.0
2001-08,2001,8,161.5
2001-09,2001,9,238.2
2001-10,2001,10,194.1
2001-11,2001,11,176.6
2001-12,2001,12,213.4
2002-01,2002,1,184.6
2002-02,2002,2,170.2
2002-03,2002,3,147.1
2002-04,2002,4,186.9
2002-05,2002,5,187.5
2002-06,2002,6,128.8
2002-07,2002,7,161.0
2002-08,2002,8,175.6
2002-09,2002,9,187.9
2002-10,2002,10,151.2
2002-11,2002,11,147.2
2002-12,2002,12,135.3
2003-01,2003,1,133.5
2003-02,2003,2,75.7
2003-03,2003,3,100.7
2003-04,2003,4,97.9
2003-05,2003,5,86.8
2003-06,2003,6,118.7
2003-07,2003,7,128.3
2003-08,2003,8,115.4
2003-09,2003,9,78.5
2003-10,2003,10,97.8
2003-11,2003,11,82.9
2003-12,2003,12,72.2
2004-01,2004,1,60.6
2004-02,2004,2,74.6
2004-03,2004,3,74.8
2004-04,2004,4,59.2
2004-05,2004,5,72.8
2004-06,2004,6,66.5
2004-07,2004,7,83.8
2004-08,2004,8,69.7
2004-09,2004,9,48.8
2004-10,2004,10,74.2
2004-11,2004,11,70.1
2004-12,2004,12,28.9
2005-01,2005,1,48.1
2005-02,2005,2,43.5
2005-03,2005,3,39.6
2005-04,2005,4,38.7
2005-05,2005,5,61.9
2005-06,2005,6,56.8
2005-07,2005,7,62.4
2005-08,2005,8,60.5
2005-09,2005,9,37.2
2005-10,2005,10,13.2
2005-11,2005,11,27.5
2005-12,2005,12,59.3
2006-01,2006,1,20.9
2006-02,2006,2,5.7
2006-03,2006,3,17.3
2006-04,2006,4,50.3
2006-05,2006,5,37.2
2006-06,2006,6,24.5
2006-07,2006,7,22.2
2006-08,2006,8,20.8
2006-09,2006,9,23.7
2006-10,2006,10,14.9
2006-11,2006,11,35.7
2006-12,2006,12,22.3
2007-01,2007,1,29.3
2007-02,2007,2,18.4
2007-03,2007,3,7.2
2007-04,2007,4,5.4
2007-05,2007,5,19.5
2007-06,2007,6,21.3
2007-07,2007,7,15.1
2007-08,2007,8,9.8
2007-09,2007,9,4.0
2007-10,2007,10,1.5
2007-11,2007,11,2.8
2007-12,2007,12,17.3
2008-01,2008,1,4.1
2008-02,2008,2,2.9
2008-03,2008,3,15.5
2008-04,2008,4,3.6
2008-05,2008,5,4.6
2008-06,2008,6,5.2
2008-07,2008,7,0.6
2008-08,2008,8,0.3
2008-09,2008,9,1.2
2008-10,2008,10,4.2
2008-11,2008,11,6.6
2008-12,2008,12,1.0
2009-01,2009,1,1.3
2009-02,2009,2,1.2
2009-03,2009,3,0.6
2009-04,2009,4,1.2
2009-05,2009,5,2.9
2009-06,2009,6,6.3
2009-07,2009,7,5.5
2009-08,2009,8,0.0
2009-09,2009,9,7.1
2009-10,2009,10,7.7
2009-11,2009,11,6.9
2009-12,2009,12,16.3
2010-01,2010,1,19.5
2010-02,2010,2,28.5
2010-03,2010,3,24.0
2010-04,2010,4,10.4
2010-05,2010,5,13.9
2010-06,2010,6,18.8
2010-07,2010,7,25.2
2010-08,2010,8,29.6
2010-09,2010,9,36.4
2010-10,2010,10,33.6
2010-11,2010,11,34.4
2010-12,2010,12,24.5
2011-01,2011,1,27.3
2011-02,2011,2,48.3
2011-03,2011,3,78.6
2011-04,2011,4,76.1
2011-05,2011,5,58.2
2011-06,2011,6,56.1
2011-07,2011,7,64.5
2011-08,2011,8,65.8
2011-09,2011,9,120.1
2011-10,2011,10,125.7
2011-11,2011,11,139.1
2011-12,2011,12,109.3
2012-01,2012,1,94.4
2012-02,2012,2,47.8
2012-03,2012,3,86.6
2012-04,2012,4,85.9
2012-05,2012,5,96.5
2012-06,2012,6,92.0
2012-07,2012,7,100.1
2012-08,2012,8,94.8
2012-09,2012,9,93.7
2012-10,2012,10,76.5
2012-11,2012,11,87.6
2012-12,2012,12,56.8
2013-01,2013,1,96.1
2013-02,2013,2,60.9
2013-03,2013,3,78.3
2013-04,2013,4,107.3
2013-05,2013,5,120.2
2013-06,2013,6,76.7
2013-07,2013,7,86.2
2013-08,2013,8,91.8
2013-09,2013,9,54.5
2013-10,2013,10,114.4
2013-11,2013,11,113.9
2013-12,2013,12,124.2
2014-01,2014,1,117.0
2014-02,2014,2,146.1
2014-03,2014,3,128.7
2014-04,2014,4,112.5
2014-05,2014,5,112.5
2014-06,2014,6,102.9
2014-07,2014,7,100.2
2014-08,2014,8,106.9
2014-09,2014,9,130.0
2014-10,2014,10,90.0
2014-11,2014,11,103.6
2014-12,2014,12,112.9
2015-01,2015,1,93.0
2015-02,2015,2,66.7
2015-03,2015,3,54.5
2015-04,2015,4,75.3
2015-05,2015,5,88.8
2015-06,2015,6,66.5
2015-07,2015,7,65.8
2015-08,2015,8,64.4
2015-09,2015,9,78.6
2015-10,2015,10,63.6
2015-11,2015,11,62.2
2015-12,2015,12,58.0
2016-01,2016,1,57.0
2016-02,2016,2,56.4
2016-03,2016,3,54.1
2016-04,2016,4,37.9
2016-05,2016,5,51.5
2016-06,2016,6,20.5
2016-07,2016,7,32.4
2016-08,2016,8,50.2
2016-09,2016,9,44.6
2016-10,2016,10,33.4
2016-11,2016,11,21.4
2016-12,2016,12,18.5
2017-01,2017,1,26.1
2017-02,2017,2,26.4
2017-03,2017,3,17.7
2017-04,2017,4,32.3
2017-05,2017,5,18.9
2017-06,2017,6,19.2
2017-07,2017,7,17.8
2017-08,2017,8,32.6
2017-09,2017,9,43.7
2017-10,2017,10,13.2
2017-11,2017,11,5.7
2017-12,2017,12,8.2
2018-01,2018,1,6.8
2018-02,2018,2,10.7
2018-03,2018,3,2.5
2018-04,2018,4,8.9
2018-05,2018,5,13.1
2018-06,2018,6,15.6
2018-07,2018,7,1.6
2018-08,2018,8,8.7
2018-09,2018,9,3.3
2018-10,2018,10,4.9
2018-11,2018,11,4.9
2018-12,2018,12,3.1
2019-01,2019,1,7.7
2019-02,2019,2,0.8
2019-03,2019,3,9.4
2019-04,2019,4,9.1
2019-05,2019,5,9.9
2019-06,2019,6,1.2
2019-07,2019,7,0.9
2019-08,2019,8,0.5
2019-09,2019,9,1.1
2019-10,2019,10,0.4
2019-11,2019,11,0.5
2019-12,2019,12,1.5
2020-01,2020,1,6.2
2020-02,2020,2,0.2
2020-03,2020,3,1.5
2020-04,2020,4,5.2
2020-05,2020,5,0.2
2020-06,2020,6,5.8
2020-07,2020,7,6.1
2020-08,2020,8,7.5
2020-09,2020,9,0.6
2020-10,2020,10,14.6
2020-11,2020,11,34.5
2020-12,2020,12,23.1
2021-01,2021,1,10.4
2021-02,2021,2,8.2
2021-03,2021,3,17.2
2021-04,2021,4,24.5
2021-05,2021,5,21.2
2021-06,2021,6,25.0
2021-07,2021,7,34.3
2021-08,2021,8,22.0
2021-09,2021,9,51.3
2021-10,2021,10,37.4
2021-11,2021,11,34.8
2021-12,2021,12,67.5
2022-01,2022,1,55.3
2022-02,2022,2,60.9
2022-03,2022,3,78.6
2022-04,2022,4,84.0
2022-05,2022,5,96.5
2022-06,2022,6,70.3
2022-07,2022,7,91.4
2022-08,2022,8,74.6
2022-09,2022,9,96.0
2022-10,2022,10,95.5
2022-11,2022,11,80.5
2022-12,2022,12,112.8
2023-01,2023,1,144.4
2023-02,2023,2,111.3
2023-03,2023,3,123.3
2023-04,2023,4,97.6
2023-05,2023,5,137.4
2023-06,2023,6,160.5
2023-07,2023,7,160.0
2023-08,2023,8,114.8
2023-09,2023,9,134.2
2023-10,2023,10,99.9
2023-11,2023,11,107.1
2023-12,2023,12,113.5
2024-01,2024,1,126.0
2024-02,2024,2,123.0
2024-03,2024,3,103.7
2024-04,2024,4,137.0
2024-05,2024,5,172.1
2024-06,2024,6,164.1
2024-07,2024,7,196.8
2024-08,2024,8,216.0
2024-09,2024,9,141.1
2024-10,2024,10,165.8
2024-11,2024,11,154.1
2024-12,2024,12,154.6
2025-01,2025,1,137.0
2025-02,2025,2,155.7
2025-03,2025,3,134.2
2025-04,2025,4,141.4
2025-05,2025,5,78.5
2025-06,2025,6,114.6
2025-07,2025,7,125.9
2025-08,2025,8,133.7
2025-09,2025,9,129.7
2025-10,2025,10,114.6
2025-11,2025,11,91.8
2025-12,2025,12,124.0
2026-01,2026,1,112.5
2026-02,2026,2,78.2
